,Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
166,2014,11,2,22,16.249,20.936
167,2014,11,2,23,16.654,18.889
168,2014,11,3,0,16.582,19.103
169,2014,11,3,1,17.082,20.055
170,2014,11,3,2,17.034,20.65
171,2014,11,3,3,16.654,20.579
172,2014,11,3,4,16.415,21.963
173,2014,11,3,5,16.415,21.724
174,2014,11,3,6,16.463,22.441
175,2014,11,3,7,16.582,23.689
176,2014,11,3,8,18.509,24.315
177,2014,11,3,9,16.796,22.944
178,2014,11,3,10,17.106,20.365
179,2014,11,3,11,17.772,19.365
180,2014,11,3,12,18.01,19.484
181,2014,11,3,13,18.628,19.817
182,2014,11,3,14,18.889,20.579
183,2014,11,3,15,18.057,21.7
184,2014,11,3,16,17.748,21.915
185,2014,11,3,17,17.344,22.92
186,2014,11,3,18,17.177,23.304
187,2014,11,3,19,17.344,23.232
188,2014,11,3,20,17.701,23.545
189,2014,11,3,21,17.582,24.05
190,2014,11,3,22,18.129,20.913
191,2014,11,3,23,18.39,20.269
192,2014,11,4,0,18.414,19.365
193,2014,11,4,1,18.247,19.484
194,2014,11,4,2,18.224,20.484
195,2014,11,4,3,18.461,22.106
196,2014,11,4,4,18.414,22.178
197,2014,11,4,5,18.224,22.896
198,2014,11,4,6,18.224,23.761
199,2014,11,4,7,18.2,24.171
200,2014,11,4,8,18.366,24.026
201,2014,11,4,9,18.675,23.521
202,2014,11,4,10,17.938,23.232
203,2014,11,4,11,17.677,21.581
204,2014,11,4,12,17.962,19.841
205,2014,11,4,13,17.344,19.746
206,2014,11,4,14,17.463,20.007
207,2014,11,4,15,17.32,20.913
208,2014,11,4,16,17.653,22.465
209,2014,11,4,17,17.32,22.896
210,2014,11,4,18,17.51,22.489
211,2014,11,4,19,17.867,22.681
212,2014,11,4,20,17.915,23.785
213,2014,11,4,21,18.461,23.136
214,2014,11,4,22,17.463,23.088
215,2014,11,4,23,17.463,21.915
216,2014,11,5,0,16.392,20.77
217,2014,11,5,1,15.939,19.318
218,2014,11,5,2,16.32,19.389
219,2014,11,5,3,16.677,20.579
220,2014,11,5,4,16.725,22.633
221,2014,11,5,5,17.153,23.521
222,2014,11,5,6,17.344,23.328
223,2014,11,5,7,17.701,23.208
224,2014,11,5,8,17.962,23.905
225,2014,11,5,9,18.343,23.472
226,2014,11,5,10,17.249,23.761
227,2014,11,5,11,16.32,21.581
228,2014,11,5,12,16.225,20.507
229,2014,11,5,13,16.463,19.865
230,2014,11,5,14,15.843,18.889
231,2014,11,5,15,16.725,19.103
232,2014,11,5,16,16.368,19.698
233,2014,11,5,17,16.368,20.77
234,2014,11,5,18,16.582,22.082
235,2014,11,5,19,16.796,22.178
236,2014,11,5,20,17.082,22.417
237,2014,11,5,21,17.772,22.274
238,2014,11,5,22,18.414,22.465
239,2014,11,5,23,16.654,22.274
240,2014,11,6,0,16.677,20.674
241,2014,11,6,1,17.296,18.794
242,2014,11,6,2,16.392,19.318
243,2014,11,6,3,16.272,18.794
244,2014,11,6,4,16.677,18.937
245,2014,11,6,5,16.511,20.841
246,2014,11,6,6,16.701,22.13
247,2014,11,6,7,16.963,22.753
248,2014,11,6,8,16.987,22.896
249,2014,11,6,9,17.153,22.992
250,2014,11,6,10,17.724,23.04
251,2014,11,6,11,17.011,23.208
252,2014,11,6,12,17.225,20.603
253,2014,11,6,13,17.51,20.412
254,2014,11,6,14,17.891,19.127
255,2014,11,6,15,18.081,18.913
256,2014,11,6,16,18.129,18.889
257,2014,11,6,17,17.558,21.366
258,2014,11,6,18,17.843,21.461
259,2014,11,6,19,17.724,21.151
260,2014,11,6,20,17.724,22.441
261,2014,11,6,21,17.772,22.824
262,2014,11,6,22,18.081,22.633
263,2014,11,6,23,17.867,23.232
264,2014,11,7,0,17.843,21.27
265,2014,11,7,1,18.675,20.341
266,2014,11,7,2,18.081,19.627
267,2014,11,7,3,17.558,19.46
268,2014,11,7,4,18.366,19.151
269,2014,11,7,5,17.605,20.15
270,2014,11,7,6,18.271,21.628
271,2014,11,7,7,18.081,21.939
272,2014,11,7,8,18.105,22.8
273,2014,11,7,9,18.247,22.681
274,2014,11,7,10,18.247,22.657
275,2014,11,7,11,18.414,23.569
276,2014,11,7,12,18.366,23.304
277,2014,11,7,13,18.628,20.746
278,2014,11,7,14,19.341,20.936
279,2014,11,7,15,20.103,19.698
280,2014,11,7,16,19.984,19.698
281,2014,11,7,17,19.627,20.174
282,2014,11,7,18,19.294,21.628
283,2014,11,7,19,18.985,22.393
284,2014,11,7,20,18.889,22.417
285,2014,11,7,21,18.842,21.772
286,2014,11,7,22,18.889,22.585
287,2014,11,7,23,19.08,22.92
