Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
2014,10,30,10,18.818,23.497
2014,10,30,11,17.415,23.04
2014,10,30,12,17.249,22.896
2014,10,30,13,17.986,21.581
2014,10,30,14,18.129,22.633
2014,10,30,15,18.628,22.633
2014,10,30,16,19.318,23.617
2014,10,30,17,17.249,23.737
2014,10,30,18,16.749,21.151
2014,10,30,19,16.63,21.461
2014,10,30,20,17.748,21.867
2014,10,30,21,17.534,22.369
2014,10,30,22,17.986,22.202
2014,10,30,23,18.39,23.232
2014,10,31,0,16.701,22.92
2014,10,31,1,16.677,22.465
2014,10,31,2,16.868,22.968
2014,10,31,3,17.177,22.609
2014,10,31,4,18.39,23.617
2014,10,31,5,17.106,23.737
2014,10,31,6,16.392,21.342
2014,10,31,7,16.201,21.485
2014,10,31,8,15.605,21.008
2014,10,31,9,15.891,21.199
2014,10,31,10,15.939,23.112
2014,10,31,11,16.272,21.437
2014,10,31,12,15.891,21.557
2014,10,31,13,16.177,19.936
2014,10,31,14,15.963,21.533
2014,10,31,15,16.01,22.13
2014,10,31,16,16.558,23.737
2014,10,31,17,17.439,24.195
2014,10,31,18,16.439,23.569
2014,10,31,19,16.082,21.318
2014,10,31,20,16.701,21.223
2014,10,31,21,16.392,22.609
2014,10,31,22,16.296,22.274
2014,10,31,23,15.963,21.604
2014,11,1,0,16.01,21.294
2014,11,1,1,16.01,21.294
2014,11,1,2,16.058,22.202
2014,11,1,3,15.939,22.058
2014,11,1,4,16.368,22.8
2014,11,1,5,17.486,23.088
2014,11,1,6,16.415,25.283
2014,11,1,7,16.106,21.676
2014,11,1,8,15.867,22.154
2014,11,1,9,15.748,22.034
2014,11,1,10,15.843,19.77
2014,11,1,11,15.772,20.436
2014,11,1,12,15.557,19.936
2014,11,1,13,15.652,19.722
2014,11,1,14,15.509,19.579
2014,11,1,15,15.652,19.984
2014,11,1,16,15.581,22.345
2014,11,1,17,16.082,23.737
2014,11,1,18,16.368,22.944
2014,11,1,19,16.034,22.465
2014,11,1,20,15.939,21.318
2014,11,1,21,15.724,19.865
2014,11,1,22,15.819,21.032
2014,11,1,23,15.796,20.555
2014,11,2,0,15.7,19.579
2014,11,2,1,16.296,20.198
2014,11,2,2,15.939,22.178
2014,11,2,3,15.963,22.513
2014,11,2,4,15.939,22.633
2014,11,2,5,15.963,24.098
2014,11,2,6,16.106,23.04
2014,11,2,7,16.558,24.05
2014,11,2,8,16.058,22.705
2014,11,2,9,15.796,20.674
2014,11,2,10,15.7,21.581
2014,11,2,11,15.485,20.079
2014,11,2,12,15.39,20.246
2014,11,2,13,15.414,19.032
2014,11,2,14,15.27,17.819
2014,11,2,15,15.557,21.676
2014,11,2,16,15.461,22.417
2014,11,2,17,15.676,23.4
2014,11,2,18,15.796,23.448
2014,11,2,19,16.701,23.713
2014,11,2,20,16.034,23.497
2014,11,2,21,16.082,20.388
2014,11,2,22,16.249,20.936
2014,11,2,23,16.654,18.889
2014,11,3,0,16.582,19.103
2014,11,3,1,17.082,20.055
2014,11,3,2,17.034,20.65
2014,11,3,3,16.654,20.579
2014,11,3,4,16.415,21.963
2014,11,3,5,16.415,21.724
2014,11,3,6,16.463,22.441
2014,11,3,7,16.582,23.689
2014,11,3,8,18.509,24.315
2014,11,3,9,16.796,22.944
2014,11,3,10,17.106,20.365
2014,11,3,11,17.772,19.365
2014,11,3,12,18.01,19.484
2014,11,3,13,18.628,19.817
2014,11,3,14,18.889,20.579
2014,11,3,15,18.057,21.7
2014,11,3,16,17.748,21.915
2014,11,3,17,17.344,22.92
2014,11,3,18,17.177,23.304
2014,11,3,19,17.344,23.232
2014,11,3,20,17.701,23.545
2014,11,3,21,17.582,24.05
2014,11,3,22,18.129,20.913
2014,11,3,23,18.39,20.269
2014,11,4,0,18.414,19.365
2014,11,4,1,18.247,19.484
2014,11,4,2,18.224,20.484
2014,11,4,3,18.461,22.106
2014,11,4,4,18.414,22.178
2014,11,4,5,18.224,22.896
2014,11,4,6,18.224,23.761
2014,11,4,7,18.2,24.171
2014,11,4,8,18.366,24.026
2014,11,4,9,18.675,23.521
2014,11,4,10,17.938,23.232
2014,11,4,11,17.677,21.581
2014,11,4,12,17.962,19.841
2014,11,4,13,17.344,19.746
2014,11,4,14,17.463,20.007
2014,11,4,15,17.32,20.913
2014,11,4,16,17.653,22.465
2014,11,4,17,17.32,22.896
2014,11,4,18,17.51,22.489
2014,11,4,19,17.867,22.681
2014,11,4,20,17.915,23.785
2014,11,4,21,18.461,23.136
2014,11,4,22,17.463,23.088
2014,11,4,23,17.463,21.915
2014,11,5,0,16.392,20.77
2014,11,5,1,15.939,19.318
2014,11,5,2,16.32,19.389
2014,11,5,3,16.677,20.579
2014,11,5,4,16.725,22.633
2014,11,5,5,17.153,23.521
2014,11,5,6,17.344,23.328
2014,11,5,7,17.701,23.208
2014,11,5,8,17.962,23.905
2014,11,5,9,18.343,23.472
2014,11,5,10,17.249,23.761
2014,11,5,11,16.32,21.581
2014,11,5,12,16.225,20.507
2014,11,5,13,16.463,19.865
2014,11,5,14,15.843,18.889
2014,11,5,15,16.725,19.103
2014,11,5,16,16.368,19.698
2014,11,5,17,16.368,20.77
2014,11,5,18,16.582,22.082
2014,11,5,19,16.796,22.178
2014,11,5,20,17.082,22.417
2014,11,5,21,17.772,22.274
2014,11,5,22,18.414,22.465
2014,11,5,23,16.654,22.274
2014,11,6,0,16.677,20.674
2014,11,6,1,17.296,18.794
2014,11,6,2,16.392,19.318
2014,11,6,3,16.272,18.794
2014,11,6,4,16.677,18.937
2014,11,6,5,16.511,20.841
2014,11,6,6,16.701,22.13
2014,11,6,7,16.963,22.753
2014,11,6,8,16.987,22.896
2014,11,6,9,17.153,22.992
2014,11,6,10,17.724,23.04
2014,11,6,11,17.011,23.208
2014,11,6,12,17.225,20.603
2014,11,6,13,17.51,20.412
2014,11,6,14,17.891,19.127
2014,11,6,15,18.081,18.913
2014,11,6,16,18.129,18.889
2014,11,6,17,17.558,21.366
2014,11,6,18,17.843,21.461
2014,11,6,19,17.724,21.151
2014,11,6,20,17.724,22.441
2014,11,6,21,17.772,22.824
2014,11,6,22,18.081,22.633
2014,11,6,23,17.867,23.232
2014,11,7,0,17.843,21.27
2014,11,7,1,18.675,20.341
2014,11,7,2,18.081,19.627
2014,11,7,3,17.558,19.46
2014,11,7,4,18.366,19.151
2014,11,7,5,17.605,20.15
2014,11,7,6,18.271,21.628
2014,11,7,7,18.081,21.939
2014,11,7,8,18.105,22.8
2014,11,7,9,18.247,22.681
2014,11,7,10,18.247,22.657
2014,11,7,11,18.414,23.569
2014,11,7,12,18.366,23.304
2014,11,7,13,18.628,20.746
2014,11,7,14,19.341,20.936
2014,11,7,15,20.103,19.698
2014,11,7,16,19.984,19.698
2014,11,7,17,19.627,20.174
2014,11,7,18,19.294,21.628
2014,11,7,19,18.985,22.393
2014,11,7,20,18.889,22.417
2014,11,7,21,18.842,21.772
2014,11,7,22,18.889,22.585
2014,11,7,23,19.08,22.92
2014,11,8,0,18.794,22.992
2014,11,8,1,20.007,21.246
2014,11,8,2,20.46,20.222
2014,11,8,3,20.698,21.056
2014,11,8,4,21.103,20.674
2014,11,8,5,21.032,20.531
2014,11,8,6,20.817,21.485
2014,11,8,7,20.841,21.795
2014,11,8,8,20.269,22.561
2014,11,8,9,20.15,22.082
2014,11,8,10,20.031,22.561
2014,11,8,11,20.555,22.585
2014,11,8,12,21.032,23.232
2014,11,8,13,20.65,22.345
2014,11,8,14,21.008,21.485
2014,11,8,15,21.413,20.936
2014,11,8,16,21.127,21.079
2014,11,8,17,21.413,20.96
2014,11,8,18,21.223,22.13
2014,11,8,19,20.96,22.872
2014,11,8,20,20.46,22.896
2014,11,8,21,20.507,22.848
2014,11,8,22,20.674,23.04
2014,11,8,23,20.198,22.896
2014,11,9,0,20.936,23.16
2014,11,9,1,20.317,23.472
2014,11,9,2,21.246,21.724
2014,11,9,3,21.127,21.127
2014,11,9,4,21.103,21.199
2014,11,9,5,20.865,21.39
2014,11,9,6,20.913,21.008
2014,11,9,7,21.127,21.819
2014,11,9,8,21.199,22.345
2014,11,9,9,21.223,22.011
2014,11,9,10,21.246,22.585
2014,11,9,11,21.223,22.92
2014,11,9,12,21.318,23.16
2014,11,9,13,21.27,23.016
2014,11,9,14,21.318,22.513
2014,11,9,15,21.366,21.7
2014,11,9,16,21.557,21.628
2014,11,9,17,21.939,21.366
2014,11,9,18,21.867,21.366
2014,11,9,19,21.724,22.441
2014,11,9,20,21.604,23.16
2014,11,9,21,21.294,22.848
2014,11,9,22,21.485,23.4
2014,11,9,23,21.604,23.232
2014,11,10,0,21.628,23.328
2014,11,10,1,21.581,23.256
2014,11,10,2,21.557,22.609
2014,11,10,3,21.795,21.724
2014,11,10,4,22.369,21.676
2014,11,10,5,21.963,21.724
2014,11,10,6,21.223,21.795
2014,11,10,7,21.724,21.461
2014,11,10,8,22.13,22.441
2014,11,10,9,21.987,22.537
2014,11,10,10,22.011,22.585
2014,11,10,11,21.987,23.04
2014,11,10,12,21.939,23.016
2014,11,10,13,21.963,23.328
2014,11,10,14,21.987,22.992
2014,11,10,15,22.13,22.705
2014,11,10,16,21.533,22.011
2014,11,10,17,21.485,22.345
2014,11,10,18,21.987,21.867
2014,11,10,19,22.034,22.345
2014,11,10,20,22.226,22.489
2014,11,10,21,21.867,22.8
2014,11,10,22,21.819,23.088
2014,11,10,23,22.154,23.352
2014,11,11,0,22.106,23.617
2014,11,11,1,22.154,23.641
2014,11,11,2,22.011,23.424
2014,11,11,3,22.13,22.848
2014,11,11,4,21.939,22.178
2014,11,11,5,22.034,22.25
2014,11,11,6,21.963,22.178
2014,11,11,7,22.13,22.154
2014,11,11,8,22.25,22.369
2014,11,11,9,22.106,22.968
2014,11,11,10,22.202,22.417
2014,11,11,11,22.226,23.016
2014,11,11,12,22.154,22.944
2014,11,11,13,22.154,23.4
2014,11,11,14,22.13,23.328
2014,11,11,15,22.13,23.064
2014,11,11,16,21.915,22.729
2014,11,11,17,21.891,22.417
2014,11,11,18,21.772,22.681
2014,11,11,19,21.557,22.561
2014,11,11,20,22.13,23.064
2014,11,11,21,22.154,23.4
2014,11,11,22,22.154,23.497
2014,11,11,23,22.154,23.689
2014,11,12,0,22.274,23.761
2014,11,12,1,22.011,23.737
2014,11,12,2,22.25,23.881
2014,11,12,3,21.056,23.497
2014,11,12,4,18.985,23.04
2014,11,12,5,19.27,23.04
2014,11,12,6,17.962,22.633
2014,11,12,7,18.343,22.369
2014,11,12,8,18.319,22.824
2014,11,12,9,19.698,23.448
2014,11,12,10,20.913,23.256
2014,11,12,11,20.317,23.4
2014,11,12,12,17.724,23.4
2014,11,12,13,17.962,23.16
2014,11,12,14,18.985,23.256
2014,11,12,15,19.603,23.809
2014,11,12,16,17.701,24.05
2014,11,12,17,17.439,22.753
2014,11,12,18,16.987,22.274
2014,11,12,19,17.32,22.8
2014,11,12,20,18.343,23.28
2014,11,12,21,18.366,23.208
2014,11,12,22,18.889,23.689
2014,11,12,23,20.984,23.905
2014,11,13,0,17.891,23.93
2014,11,13,1,17.296,23.978
2014,11,13,2,17.701,23.472
2014,11,13,3,19.08,23.785
2014,11,13,4,16.844,23.785
2014,11,13,5,15.986,23.424
2014,11,13,6,15.891,22.321
2014,11,13,7,15.963,22.226
2014,11,13,8,16.606,22.274
2014,11,13,9,17.463,23.593
2014,11,13,10,17.153,23.905
2014,11,13,11,18.818,23.713
2014,11,13,12,16.487,23.857
2014,11,13,13,16.296,22.992
2014,11,13,14,16.368,23.232
2014,11,13,15,17.201,24.002
2014,11,13,16,16.153,24.291
2014,11,13,17,15.605,23.665
2014,11,13,18,15.748,23.472
2014,11,13,19,15.819,23.761
2014,11,13,20,16.129,23.448
2014,11,13,21,17.772,23.978
2014,11,13,22,17.439,24.171
2014,11,13,23,18.461,24.315
2014,11,14,0,16.177,24.388
2014,11,14,1,15.843,24.098
2014,11,14,2,16.034,23.472
2014,11,14,3,16.368,23.016
2014,11,14,4,16.344,24.122
2014,11,14,5,15.796,24.339
2014,11,14,6,16.463,22.944
2014,11,14,7,18.176,23.184
2014,11,14,8,18.533,22.011
2014,11,14,9,18.913,22.992
2014,11,14,10,19.008,23.304
2014,11,14,11,17.034,23.184
2014,11,14,12,17.748,23.833
2014,11,14,13,17.32,23.713
2014,11,14,14,17.391,23.04
2014,11,14,15,18.057,22.537
2014,11,14,16,18.343,23.569
2014,11,14,17,16.63,23.713
2014,11,14,18,16.558,23.641
2014,11,14,19,17.058,22.896
2014,11,14,20,17.439,22.609
2014,11,14,21,18.366,22.8
2014,11,14,22,18.057,22.8
2014,11,14,23,18.461,23.112
2014,11,15,0,19.555,23.328
2014,11,15,1,17.463,23.352
2014,11,15,2,17.296,23.521
2014,11,15,3,17.153,23.28
2014,11,15,4,19.413,23.184
2014,11,15,5,18.557,23.256
2014,11,15,6,16.82,23.665
2014,11,15,7,17.796,23.04
2014,11,15,8,18.557,22.489
2014,11,15,9,18.913,21.819
2014,11,15,10,19.199,22.681
2014,11,15,11,18.913,22.226
2014,11,15,12,18.771,22.298
2014,11,15,13,18.604,22.896
2014,11,15,14,18.604,22.824
2014,11,15,15,19.032,22.824
2014,11,15,16,19.103,23.689
2014,11,15,17,20.746,23.304
2014,11,15,18,17.653,23.424
2014,11,15,19,18.152,23.857
2014,11,15,20,18.438,22.369
2014,11,15,21,19.151,22.681
2014,11,15,22,19.555,22.13
2014,11,15,23,19.27,22.274
2014,11,16,0,19.841,22.513
2014,11,16,1,19.698,22.992
2014,11,16,2,18.794,23.328
2014,11,16,3,20.198,23.448
2014,11,16,4,21.39,23.665
2014,11,16,5,21.056,23.641
2014,11,16,6,18.057,23.905
2014,11,16,7,18.081,23.521
2014,11,16,8,18.723,22.345
2014,11,16,9,19.46,22.393
2014,11,16,10,19.96,21.652
2014,11,16,11,20.174,22.513
2014,11,16,12,19.674,22.609
2014,11,16,13,19.555,22.681
2014,11,16,14,19.936,23.184
2014,11,16,15,18.319,23.424
2014,11,16,16,19.318,23.665
2014,11,16,17,18.081,23.04
2014,11,16,18,19.175,22.896
2014,11,16,19,18.247,23.954
2014,11,16,20,18.842,22.681
2014,11,16,21,19.08,21.127
2014,11,16,22,19.579,22.202
2014,11,16,23,20.031,22.8
2014,11,17,0,19.674,22.034
2014,11,17,1,19.008,22.705
2014,11,17,2,18.675,23.088
2014,11,17,3,18.961,23.424
2014,11,17,4,18.889,23.569
2014,11,17,5,18.866,23.881
2014,11,17,6,20.365,23.93
2014,11,17,7,19.032,23.689
2014,11,17,8,19.27,23.617
2014,11,17,9,19.246,22.729
2014,11,17,10,19.627,22.537
2014,11,17,11,19.936,21.843
2014,11,17,12,19.841,22.154
2014,11,17,13,19.865,22.537
2014,11,17,14,19.865,22.537
2014,11,17,15,19.413,23.208
2014,11,17,16,19.294,23.04
2014,11,17,17,19.151,23.4
2014,11,17,18,19.151,23.424
2014,11,17,19,20.126,24.05
2014,11,17,20,19.222,23.304
2014,11,17,21,19.579,22.082
2014,11,17,22,19.555,21.867
2014,11,17,23,19.936,22.441
2014,11,18,0,20.246,21.294
2014,11,18,1,19.888,21.39
2014,11,18,2,20.15,22.058
2014,11,18,3,19.77,22.489
2014,11,18,4,19.651,22.298
2014,11,18,5,19.603,22.609
2014,11,18,6,19.651,23.497
2014,11,18,7,20.174,23.424
2014,11,18,8,19.984,23.376
2014,11,18,9,19.698,23.208
2014,11,18,10,20.126,21.795
2014,11,18,11,19.579,21.628
2014,11,18,12,19.508,21.581
2014,11,18,13,20.031,21.963
2014,11,18,14,19.865,21.748
2014,11,18,15,19.722,22.633
2014,11,18,16,19.96,23.28
2014,11,18,17,19.984,22.848
2014,11,18,18,20.079,23.184
2014,11,18,19,20.055,23.857
2014,11,18,20,20.412,23.569
2014,11,18,21,20.031,23.497
2014,11,18,22,20.007,22.106
2014,11,18,23,19.936,22.489
2014,11,19,0,19.817,21.127
2014,11,19,1,19.793,21.509
2014,11,19,2,20.126,21.628
2014,11,19,3,20.031,21.676
2014,11,19,4,20.246,21.987
2014,11,19,5,20.412,22.537
2014,11,19,6,20.246,23.376
2014,11,19,7,20.531,23.304
2014,11,19,8,20.269,23.328
2014,11,19,9,19.96,23.448
2014,11,19,10,18.604,22.705
2014,11,19,11,19.222,22.082
2014,11,19,12,18.818,21.939
2014,11,19,13,18.319,21.342
2014,11,19,14,18.224,20.746
2014,11,19,15,18.343,22.274
2014,11,19,16,19.008,23.232
2014,11,19,17,19.436,22.968
2014,11,19,18,19.413,23.857
2014,11,19,19,19.746,23.857
2014,11,19,20,20.341,23.978
2014,11,19,21,19.389,23.593
2014,11,19,22,19.103,23.881
2014,11,19,23,18.937,23.064
2014,11,20,0,18.343,21.461
2014,11,20,1,17.629,21.079
2014,11,20,2,17.653,20.96
2014,11,20,3,18.461,21.533
2014,11,20,4,18.057,22.321
2014,11,20,5,19.341,22.13
2014,11,20,6,18.866,22.8
2014,11,20,7,19.555,23.689
2014,11,20,8,19.77,23.497
2014,11,20,9,19.508,23.448
2014,11,20,10,17.368,23.304
2014,11,20,11,16.487,22.441
2014,11,20,12,16.32,21.652
2014,11,20,13,16.725,21.509
2014,11,20,14,15.867,20.484
2014,11,20,15,16.534,21.413
2014,11,20,16,16.558,22.896
2014,11,20,17,16.654,23.545
2014,11,20,18,17.082,22.705
2014,11,20,19,17.391,23.28
2014,11,20,20,18.652,23.521
2014,11,20,21,19.96,23.521
2014,11,20,22,17.843,23.761
2014,11,20,23,17.153,22.776
2014,11,21,0,16.415,22.011
2014,11,21,1,16.725,20.031
2014,11,21,2,16.129,19.817
2014,11,21,3,16.677,19.698
2014,11,21,4,16.582,19.96
2014,11,21,5,16.392,21.413
2014,11,21,6,16.63,22.513
2014,11,21,7,16.844,23.521
2014,11,21,8,17.629,23.328
2014,11,21,9,19.199,23.184
2014,11,21,10,17.296,23.737
2014,11,21,11,16.487,22.992
2014,11,21,12,16.177,21.604
2014,11,21,13,16.534,20.15
2014,11,21,14,15.939,18.985
2014,11,21,15,15.7,19.222
2014,11,21,16,15.891,19.912
2014,11,21,17,15.939,22.753
2014,11,21,18,16.272,22.896
2014,11,21,19,16.582,21.987
2014,11,21,20,17.272,23.16
2014,11,21,21,17.724,23.328
2014,11,21,22,16.796,23.472
2014,11,21,23,16.796,23.04
2014,11,22,0,16.511,22.058
2014,11,22,1,16.368,19.912
2014,11,22,2,16.463,19.127
2014,11,22,3,15.676,18.438
2014,11,22,4,16.749,18.129
2014,11,22,5,15.939,22.154
2014,11,22,6,16.415,22.609
2014,11,22,7,16.368,22.345
2014,11,22,8,16.868,23.136
2014,11,22,9,17.32,23.328
2014,11,22,10,19.103,23.232
2014,11,22,11,16.701,23.448
2014,11,22,12,16.511,21.294
2014,11,22,13,15.461,20.341
2014,11,22,14,15.533,19.222
2014,11,22,15,15.366,18.295
2014,11,22,16,16.249,19.056
2014,11,22,17,15.939,22.011
2014,11,22,18,16.058,22.345
2014,11,22,19,15.915,22.776
2014,11,22,20,16.225,23.472
2014,11,22,21,16.796,22.968
2014,11,22,22,17.867,23.593
2014,11,22,23,16.296,23.352
2014,11,23,0,16.368,21.366
2014,11,23,1,15.915,20.484
2014,11,23,2,15.796,20.15
2014,11,23,3,16.272,18.129
2014,11,23,4,15.7,17.177
2014,11,23,5,16.082,17.915
2014,11,23,6,16.034,20.055
2014,11,23,7,16.368,20.674
2014,11,23,8,16.368,22.178
2014,11,23,9,16.558,22.896
2014,11,23,10,16.606,22.393
2014,11,23,11,16.939,23.16
2014,11,23,12,16.487,23.328
2014,11,23,13,16.463,20.293
2014,11,23,14,16.487,19.151
2014,11,23,15,16.915,19.46
2014,11,23,16,15.748,18.057
2014,11,23,17,16.058,19.722
2014,11,23,18,16.296,20.913
2014,11,23,19,16.534,20.984
2014,11,23,20,16.63,22.393
2014,11,23,21,16.844,22.896
2014,11,23,22,16.844,22.729
2014,11,23,23,18.557,23.112
2014,11,24,0,16.654,23.304
2014,11,24,1,16.701,21.103
2014,11,24,2,16.439,19.532
2014,11,24,3,16.225,18.485
2014,11,24,4,16.344,18.081
2014,11,24,5,16.392,17.701
2014,11,24,6,16.249,19.103
2014,11,24,7,16.439,21.27
2014,11,24,8,16.439,22.369
2014,11,24,9,16.463,21.056
2014,11,24,10,16.63,22.633
2014,11,24,11,16.82,21.891
2014,11,24,12,18.39,23.088
2014,11,24,13,16.415,20.984
2014,11,24,14,16.892,19.389
2014,11,24,15,16.249,18.794
2014,11,24,16,16.034,17.463
2014,11,24,17,17.177,18.628
2014,11,24,18,16.272,20.603
2014,11,24,19,16.63,21.318
2014,11,24,20,16.701,20.674
2014,11,24,21,16.749,22.465
2014,11,24,22,16.844,21.7
2014,11,24,23,16.915,22.537
2014,11,25,0,17.225,22.896
2014,11,25,1,16.773,22.226
2014,11,25,2,16.987,20.674
2014,11,25,3,17.32,19.08
2014,11,25,4,17.272,18.557
2014,11,25,5,17.701,17.796
2014,11,25,6,18.129,18.224
2014,11,25,7,17.819,19.817
2014,11,25,8,17.534,20.746
2014,11,25,9,17.558,21.151
2014,11,25,10,17.605,21.7
2014,11,25,11,17.534,21.748
2014,11,25,12,17.605,22.106
2014,11,25,13,19.056,22.082
2014,11,25,14,17.677,21.963
2014,11,25,15,17.629,19.841
2014,11,25,16,17.772,18.961
2014,11,25,17,17.272,18.985
2014,11,25,18,17.891,20.222
2014,11,25,19,17.629,21.056
2014,11,25,20,17.819,21.294
2014,11,25,21,17.748,21.557
2014,11,25,22,17.843,22.465
2014,11,25,23,17.819,21.748
2014,11,26,0,17.748,22.824
2014,11,26,1,18.057,23.569
2014,11,26,2,17.819,22.896
2014,11,26,3,17.772,20.555
2014,11,26,4,17.058,19.603
2014,11,26,5,17.677,19.246
2014,11,26,6,16.987,18.818
2014,11,26,7,17.249,19.199
2014,11,26,8,17.368,21.509
2014,11,26,9,17.296,21.008
2014,11,26,10,18.129,22.25
2014,11,26,11,17.748,23.448
2014,11,26,12,17.891,22.992
2014,11,26,13,17.986,22.776
2014,11,26,14,17.463,22.8
2014,11,26,15,16.63,21.008
2014,11,26,16,16.582,19.318
2014,11,26,17,16.106,19.508
2014,11,26,18,17.51,19.08
2014,11,26,19,16.677,22.441
2014,11,26,20,16.558,21.987
2014,11,26,21,17.368,21.939
2014,11,26,22,17.748,22.609
2014,11,26,23,18.152,23.448
2014,11,27,0,17.582,22.753
2014,11,27,1,17.724,22.992
2014,11,27,2,17.772,22.872
2014,11,27,3,16.082,20.936
2014,11,27,4,16.558,20.007
2014,11,27,5,16.844,19.08
2014,11,27,6,16.272,18.224
2014,11,27,7,16.654,18.652
2014,11,27,8,16.392,21.175
2014,11,27,9,16.463,20.555
2014,11,27,10,16.677,19.984
2014,11,27,11,16.606,21.079
2014,11,27,12,16.344,20.293
2014,11,27,13,16.558,21.461
2014,11,27,14,16.511,21.604
2014,11,27,15,17.368,20.841
2014,11,27,16,16.487,21.032
2014,11,27,17,16.606,19.103
2014,11,27,18,16.749,18.913
2014,11,27,19,17.058,20.555
2014,11,27,20,16.82,20.293
2014,11,27,21,16.892,20.579
2014,11,27,22,16.915,21.056
2014,11,27,23,18.414,21.342
2014,11,28,0,16.987,22.513
2014,11,28,1,16.963,22.13
2014,11,28,2,16.868,21.724
2014,11,28,3,17.13,21.963
2014,11,28,4,16.796,21.7
2014,11,28,5,17.32,19.508
2014,11,28,6,16.939,19.318
2014,11,28,7,16.368,18.247
2014,11,28,8,16.725,19.199
2014,11,28,9,16.558,21.366
2014,11,28,10,16.963,21.437
2014,11,28,11,17.368,20.698
2014,11,28,12,16.844,20.96
2014,11,28,13,17.034,20.484
2014,11,28,14,16.868,21.079
2014,11,28,15,16.915,21.795
2014,11,28,16,17.843,21.987
2014,11,28,17,16.963,21.008
2014,11,28,18,17.082,19.508
2014,11,28,19,18.295,20.174
2014,11,28,20,17.296,20.388
2014,11,28,21,17.415,21.294
2014,11,28,22,17.415,21.485
2014,11,28,23,18.319,20.984
2014,11,29,0,17.486,22.202
2014,11,29,1,17.796,21.867
2014,11,29,2,17.177,21.676
2014,11,29,3,17.249,22.202
2014,11,29,4,17.534,22.034
2014,11,29,5,17.225,22.178
2014,11,29,6,18.224,19.841
2014,11,29,7,19.032,19.341
2014,11,29,8,19.151,19.746
2014,11,29,9,18.794,20.341
2014,11,29,10,18.509,21.151
2014,11,29,11,18.889,21.008
2014,11,29,12,18.557,21.151
2014,11,29,13,19.008,21.079
2014,11,29,14,18.129,20.817
2014,11,29,15,18.247,21.795
2014,11,29,16,17.772,22.011
2014,11,29,17,18.889,21.604
2014,11,29,18,18.985,22.082
2014,11,29,19,19.484,20.103
2014,11,29,20,19.08,20.841
2014,11,29,21,18.58,20.841
2014,11,29,22,19.08,21.032
2014,11,29,23,19.199,21.557
2014,11,30,0,18.842,21.509
2014,11,30,1,18.889,21.533
2014,11,30,2,19.508,22.178
