18.794;22.944
18.2;22.896
17.915;21.963
17.724;21.27
17.915;20.007
18.2;19.008
17.891;19.27
17.772;21.963
18.105;22.896
18.033;21.652
18.39;22.465
18.699;22.633
18.985;22.944
18.699;22.705
18.129;22.274
18.747;21.103
18.889;20.007
18.818;19.888
19.318;20.96
19.032;20.674
18.842;22.417
18.557;22.202
18.414;22.513
19.246;22.609
19.603;23.16
19.46;23.232
18.414;22.992
18.889;21.008
19.08;20.579
19.056;20.055
18.39;19.722
18.985;20.317
18.889;22.513
19.032;22.657
19.246;22.393
19.579;22.561
19.246;22.896
19.103;22.824
19.294;22.729
18.985;22.298
18.985;21.342
19.484;20.65
19.841;20.007
19.151;21.628
19.389;21.891
19.151;22.489
19.127;22.537
19.318;22.681
19.698;22.705
19.841;22.848
19.841;22.968
19.103;22.729
19.674;22.106
19.508;21.27
19.365;20.603
19.984;20.246
19.651;21.509
19.841;21.915
19.936;22.537
20.031;22.513
19.817;22.824
19.793;23.112
19.746;23.16
20.055;23.04
19.27;23.136
18.675;21.7
19.222;21.652
18.985;21.987
19.888;21.509
18.842;22.776
19.579;23.232
19.77;23.448
19.603;23.352
19.365;23.593
20.341;23.761
20.15;23.713
18.438;23.4
17.819;22.561
17.796;21.199
16.939;20.793
18.414;21.772
19.984;22.705
18.818;23.497
17.415;23.04
17.249;22.896
17.986;21.581
18.129;22.633
18.628;22.633
19.318;23.617
17.249;23.737
16.749;21.151
16.63;21.461
17.748;21.867
17.534;22.369
17.986;22.202
18.39;23.232
16.701;22.92
16.677;22.465
16.868;22.968
17.177;22.609
18.39;23.617
17.106;23.737
16.392;21.342
16.201;21.485
15.605;21.008
15.891;21.199
15.939;23.112
16.272;21.437
15.891;21.557
16.177;19.936
15.963;21.533
16.01;22.13
16.558;23.737
17.439;24.195
16.439;23.569
16.082;21.318
16.701;21.223
16.392;22.609
16.296;22.274
15.963;21.604
16.01;21.294
16.01;21.294
16.058;22.202
15.939;22.058
16.368;22.8
17.486;23.088
16.415;25.283
16.106;21.676
15.867;22.154
15.748;22.034
15.843;19.77
15.772;20.436
15.557;19.936
15.652;19.722
15.509;19.579
15.652;19.984
15.581;22.345
16.082;23.737
16.368;22.944
16.034;22.465
15.939;21.318
15.724;19.865
15.819;21.032
15.796;20.555
15.7;19.579
16.296;20.198
15.939;22.178
15.963;22.513
15.939;22.633
